title,companyName,location,experience,salary,jobDescription,tagsAndSkills,jobUploaded,minimumSalary,maximumSalary,minimumExperience,maximumExperience,averageSalary
Python Software Developer,Smart Placement Services,"Hybrid - Indore, Nagpur",0 Yrs,4-4.5 Lacs PA,"We are hiring for a front-end developer
Location: Bangalore
year of pass out: 2020-2025
qualification: Any graduate
Technologies: Python and Django 
package: 4-4.5LPA
For more details, apply here we will get back to you","Django,Python,Django Framework,Python Development,Software,Development,Software development,Framework",10 Days Ago,400000.0,450000.0,0.0,0.0,425000.0
Calypso Business Analyst L3 - Bangalore,Net Connect,Bengaluru,5-7 Yrs,5-10 Lacs PA,"Have 5 - 7 years of Calypso Back Office working experience with strong domain knowledge of capital markets,including exposure to different asset classes like Fixed Income,Equities,Repos,Sec Lending,and Money Market products<br><br>Identify dependencies and coordinate with other teams as required<br><br>Have experience in coordination and project management within a structured framework","Capital Market,Calypso Business Analyst,Project Management,Back Office,SQL,Repos,Bonds,Analytical",10 Days Ago,500000.0,1000000.0,5.0,7.0,750000.0
Software Developer - 1 year - 5 years - immediate joining,THINK WINNING,Chennai,,4-9 Lacs PA,"Graduates from 2024 & 2025 batches are not eligible <br><br>Eligibility: . Must have completed your previous job . Relieving Letter (Hard Copy) required . Resume (Hard Copy) required . We are looking for Software Developers to join our team and help us build functional,efficient,and user-focused applications<br><br> Good communication and team collaboration","Tamil,java,dotnet,PHP,Software,Development,Software development,.Net",Just Now,400000.0,900000.0,0.0,5.0,650000.0
Tririga Business Analyst,Quantum Strides India,Chennai,5-10 Yrs,12-24 Lacs PA,"<p> </p><ul><li>5-8 years of experience as a Business Analyst, with at least 3+ years of TRIRIGA functional consulting.</li><li>Strong understanding of TRIRIGA modules: Lease Administration, Space & Move Management, O&M, and Capital Projects.</li></ul>","PMP,ITIL Certified,Business Analyst,IBM TRIRIGA,Tririga,ITIL,Business analysis,Certified",Just Now,1200000.0,2400000.0,5.0,10.0,1800000.0
Software Engineering Consultant,Aspire Tech It Solution,Visnagar,0-3 Yrs,1.75-3.5 Lacs PA,Practical experience in mentoring software candidates for global roles,"Attention To Detail,Good Communication In English,Technical Skills,Software,English,Communication skills,Engineering,Software engineering",1 Day Ago,175000.0,350000.0,0.0,3.0,262500.0
GCP data engineer,GIG Consultants,"Hybrid - Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,15-30 Lacs PA,"We are seeking an experienced GCP Data Engineer to design, build, and maintain scalable data pipelines and platforms on Google Cloud.","Bigquery,Python,GCP,Data Flow,Flow,Data",8 Days Ago,1500000.0,3000000.0,3.0,8.0,2250000.0
Java developer+ React JS - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-11 Yrs,12-18 Lacs PA,"Candidate should have experience in Java & React JSJava + React JS
18 LPA CTC","Reacts Js,Java,React.Js,Javascript",9 Days Ago,1200000.0,1800000.0,6.0,11.0,1500000.0
Qa Engineer,Seacross Recruitment Services,"Pune, Bengaluru, Mumbai (All Areas)",10-20 Yrs,15-18 Lacs PA,"QA Lead++ We are looking for automation + manual testing lead 
Powai Mumbai","Java,Automation Testing,Manual Testing,Quality assurance,Automation,Quality assurance engineering,Software testing,Manual",9 Days Ago,1500000.0,1800000.0,10.0,20.0,1650000.0
Python Developer,Hiring Mavericks,"Hybrid - Pune, Mumbai (All Areas)",2-5 Yrs,2.5-6.5 Lacs PA,We are seeking a skilled Python Developer with 2-3 years of experience to join our dynamic  team.,"GCP,Image Processing,Python Development,OCR,Kubernetes,Postgresql,Microsoft Azure,Redis",8 Days Ago,250000.0,650000.0,2.0,5.0,450000.0
Devops Engineer_Hybrid,Creative Hr Solutions,"Pune, North Goa, Mumbai (All Areas)",3-8 Yrs,6-15 Lacs PA,"DevOps Engineer (2–10 yrs Exp)–We are hiring DevOps Engineers with hands-on experience in CI/CD, Git, Jenkins,Docker, Kubernetes, and cloud deployments. Opportunity to work on automation and scalable systems. Send CV to sirisha@creativehrsolutions.in","Ci/Cd,Jenkins,Cloud Deployment,Docker,Kubernetes,Cloud,Devops,Continuous Integration",8 Days Ago,600000.0,1500000.0,3.0,8.0,1050000.0
